"book_name_name","book_name_url","book_name_publishing_info","book_name_brief","book_name_price_discount"
"重生还是重演：如何成为一个厉害的高手","http://product.dangdang.com/25342143.html","作者：石勇
出版社：文汇出版社 出版时间：2018-08-20","&nbsp; &nbsp; 有些人一直付出，却总得不到精进，原因就是他们一直在努力重演过去，而没有获得重生。 &nbsp; &nbsp;《重生还是重演？&mdash;&mdash;如何成为厉害的高手》中，作者告诉大家，只有...","￥49.80 ￥32.30 折扣：65折 节省：￥17.50"
"逃离疯人院：TED心理学家的疯狂之旅","http://product.dangdang.com/25348730.html","作者：[英]乔恩·罗森
出版社：中国法制出版社 出版时间：2018-09-1","这是一个关于疯狂的故事。一位科学家委托作者调查一本神秘图书背后隐藏的秘密，由此，作者走进了不可思议的精神病人的世界并开始了一趟疯狂之旅。在这趟旅途中，作者接触了多位精神变态患者，深...","￥49.80 ￥38.80 折扣：78折 节省：￥11.00"
"斯坦福高效睡眠法","http://product.dangdang.com/25346824.html","作者：西野精致
出版社：文化发展出版社 出版时间：2018-10-1","&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 我们一生有1/3的时间在睡觉，但对于睡眠是怎么一回事，却浑然不知。熬夜会使女性越来越胖？早晨几点起床身体感觉*舒服？平时熬夜，周末补觉有用吗？午觉怎么睡才...","￥45.00 ￥32.40 折扣：72折 节省：￥12.60"
"找到你的生命礼物（版权售至10余国，逾2,000,000人在焦虑的年代获得精神的成长）","http://product.dangdang.com/25340375.html","作者：布莱克·D.鲍尔
出版社：江苏凤凰文艺出版社 出版时间：2018-09-1","&nbsp;&nbsp;&nbsp; 在无数个不得不面对压力的日子里，你可曾否认了自己的人生梦想，为了生存而生活？你为了生活而隐忍，焦虑、抑郁、成瘾、缺乏成就感、自我攻击、孤独、内疚等心理问题却也潜伏...","￥48.00 ￥34.20 折扣：71折 节省：￥13.80"
"读人：读懂他人内心真实想法的七个步骤！《欧普拉脱口秀》《早安美国》、BBC、CNN争相报道！被美国多家律所和检察机构选为指定培训教材！","http://product.dangdang.com/25348421.html","作者：[美]乔艾琳·狄米曲斯[美]马克·马札瑞拉
出版社：天地出版社 出版时间：2018-09-1","无论何时何地、与谁交往，你的生活质量在很大程度上取决于你的读人质量。 本书作者美国*行为专家暨知名法庭专家教导我们，如何发现某人个性、工作习惯等重要线索，并正确解读这些线索。 作者在这...","￥56.00 ￥40.30 折扣：72折 节省：￥15.70"
"知心书·第四辑：超越自恋","http://product.dangdang.com/25345737.html","作者：[法]让—夏尔.布舒，梅涛译
出版社：生活.读书.新知三联书店 出版时间：2018-10-9","作者在书中阐释了自恋变态者心理变态的机制和原因，描绘出了正常状态和变态之间的界限。受害者可以由此认清操纵者，找到自救和重建的方法；而对那些有&ldquo;自恋变态者&rdquo;倾向的人来说，阅...","￥48.00 ￥40.50 折扣：84折 节省：￥7.50"
"制怒心理学：提升情绪自控力的高品质沟通课","http://product.dangdang.com/25344621.html","作者：[美]罗纳德·波特-埃弗隆[美)]帕特里夏·波特-埃弗隆著，罗英华译，斯坦威出品
出版社：台海出版社 出版时间：2018-10-1","为什么遇到一点小事你就会炸？ 为什么你总是控制不住自己的愤怒？ 为什么甚至没有人招惹你，却还是会忍不住发脾气？ 许多人虽然很想成为能自如控制情绪的高情商者，获得人人向往的幸福与平和，...","￥45.00 ￥27.00 折扣：60折 节省：￥18.00"
"同理心：做个让人舒服的共情高手","http://product.dangdang.com/25351106.html","作者：[美]辛迪·戴尔著，镜如译，斯坦威出品
出版社：台海出版社 出版时间：2018-10-1","&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 《同理心》一书通过两大部分介绍了如何发现和运用你与生俱来的同理心。作者辛迪&middot;戴尔是享誉全球的作家、愈师和咨询师，将自己多年临床经验进行案...","￥45.00 ￥27.00 折扣：60折 节省：￥18.00"
"改变心理学：牛津大学备受推崇的心理成长课","http://product.dangdang.com/25351498.html","作者：[美]杰弗里·科特勒（JeffreyA.Kottler）著，钟晓逸译，斯坦威出品
出版社：台海出版社 出版时间：2018-10-1","当今时代日新月异，各行各业的人们都面临着社会环境、人际交往和生活情况迅速改变的挑战。此时，要么改变世界，要么改变自己，否则你就会被淘汰，因为*快节奏的高科技发展正以摧枯拉朽的势头消灭...","￥49.00 ￥29.40 折扣：60折 节省：￥19.60"
"人类愚蠢辞典","http://product.dangdang.com/25353717.html","作者：（意）皮耶尔乔治·奥迪弗雷迪，未读出品
出版社：北京联合出版有限公司 出版时间：2018-10-1","&nbsp;&nbsp; 这是一部饶有趣味的人类生活现象百科辞典。作者奥迪弗雷迪站在心理学、数学、逻辑学、哲学、人类学等多学科视角，幽默解读了人类社会中的263个自欺欺人的现象，并把这些词条按英文...","￥58.00 ￥41.70 折扣：72折 节省：￥16.30"
"关键沟通：如何解决难题，不伤感情","http://product.dangdang.com/25338767.html","作者：苏珊·斯科特
出版社：中国友谊出版公司 出版时间：2018-09-1","&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 两位得力干将失和，公司业绩下滑，你不知如何训诫？ 和孩子之间有隔阂，你找不到谈话的方式增进关系？ 朋友借钱不还，你不好意思开口？&hellip;&hellip; ...","￥45.00 ￥32.40 折扣：72折 节省：￥12.60"
"生命的跳转：当癌症遇上心理学","http://product.dangdang.com/25342839.html","作者：纳辉
出版社：广东旅游出版社 出版时间：2018-10-1","在《生命的跳转：当癌症遇上心理学》中，作者讲述了自己罹患乳腺癌后的治疗和心路历程，用亲身经历与真实感受来化解大家对癌症的恐惧，加深大家对生命的理解。我觉得癌症是位老师，它是一位教会...","￥49.00 ￥33.80 折扣：69折 节省：￥15.20"
"恶的科学：论共情与残酷行为的起源","http://product.dangdang.com/25345795.html","作者：西蒙·巴伦－科恩著，高天羽译，理想国出品
出版社：广西师范大学出版社 出版时间：2018-09-1","为什么有人会持刀闯进幼儿园砍杀儿童？ 为什么有人会为盗取一枚戒指切下别人的手指？ 为什么纳粹科学家会在俘虏身上做活体实验？ 为什么有人会忽视其他同类的人性？ 在哲学、宗教的思路里，人类...","￥42.00 ￥25.20 折扣：60折 节省：￥16.80"
"岳晓东过好这一生系列（共3册，独家亲笔签名版）","http://product.dangdang.com/25345719.html","作者：岳晓东
出版社：中国法制出版社 出版时间：2018-09-1","《过好这一生：爱上对的人》 从爱情故事到爱情理论，从感性因素到理性因素 只为还你一个&mdash;&mdash;好的爱情该有的样子 从实例到理论，从感性到理性，客观地分析了名人爱情甜...","￥126.00 ￥98.10 折扣：78折 节省：￥27.90"
"无压力社交","http://product.dangdang.com/25346725.html","作者：作者[英]吉莉恩?巴特勒(GillianButler)，译者程斯露，后浪出版
出版社：中国华侨出版社 出版时间：2018-10-1","习惯闪避别人的视线，尽量避免与人接触？ 觉得有人在看着自己，并会停下手中在做的事？ 在进入一个满是人的房间前，需要别人的陪同？ &nbsp; 种种迹象表明，你可能产生社交焦虑了。 在本书中，作...","￥45.00 ￥37.50 折扣：83折 节省：￥7.50"
"墨菲定律，生活中的小锦鲤","http://product.dangdang.com/25348728.html","作者：嗨迪
出版社：长江出版社 出版时间：2018-09-21","本书不仅打破了墨菲定律固有的刻板印象，更彻底改变其&ldquo;倒霉定律&rdquo;的负面形象，赋予其正向、幸福的新定义。 &nbsp; 本书共分三大板块：墨菲定什么律；墨菲定律，有点正；墨菲与世界。...","￥25.00 ￥17.20 折扣：69折 节省：￥7.80"
"微反应应用心理学","http://product.dangdang.com/25348442.html","作者：沈岳明
出版社：文汇出版社 出版时间：2018-09-24","&nbsp; &nbsp; 在与人交往中，透过&ldquo;面具&rdquo;直达对方内心，了解对方的想法，揣摩对方的心思并不是一件易事。除语言沟通外，其实我们的身体也会说话，而掌握识别他人肢体语言的技巧，就...","￥38.00 ￥24.70 折扣：65折 节省：￥13.30"
"九型人格应用心理学","http://product.dangdang.com/25348438.html","作者：蔡万刚
出版社：文汇出版社 出版时间：2018-09-24","与其说世界上有九种不同性格色彩的人，不如说它体现了人类*深层次的九种心理需求，只是每个人的相关需求各有不同罢了。本书精选了九个人的性格故事，愿你在这些故事里发现未知的自己，与自己来一...","￥38.00 ￥24.70 折扣：65折 节省：￥13.30"
"二十几岁的年纪，就要拼尽全力","http://product.dangdang.com/25348436.html","作者：欧阳茜茜
出版社：文汇出版社 出版时间：2018-09-19","别拿年轻安慰自己的穷困！ 能用汗水决定的事情，就不要留给泪水！ 别在二十几岁该拼命的年纪，选择岁月静好，世界上*的谎言就是&ldquo;一世安稳&rdquo;！ 有些路，你现在不走就会永远困于当下。...","￥38.00 ￥24.70 折扣：65折 节省：￥13.30"
"人际关系应用心理学","http://product.dangdang.com/25348439.html","作者：贾海泉
出版社：文汇出版社 出版时间：2018-09-24","&nbsp; 如何跟不熟的人聊得来？如何在口误后化解尴尬？如何和新同事打成一片？如何拒绝别人的&ldquo;为你好&rdquo;？ &nbsp; 因此，读懂社交心理学，学会分析社交矛盾，掌握良好的社交技巧，占领...","￥38.00 ￥24.70 折扣：65折 节省：￥13.30"